,Id,Abstract,Category
0,0,energy released solar flare partitioned thermal non thermal particle energy lost thermal conduction radiation broad range wavelengths difficult determine conductive losses energy radiated transition region temperatures impulsive phases flares use uvcs measurements vi photons produced flares subsequently scattered vi ions corona determine log transition region luminosities compare rates increase thermal energy conductive losses deduced rhessi goes x ray data using areas rhessi images estimate loop volumes cross sectional areas scale lengths transition region luminosities impulsive phase exceed x ray luminosities first minutes smaller rates increase thermal energy unless filling factor x ray emitting gas estimated conductive losses hot gas large balanced radiative losses heating evaporated plasma conclude area flare magnetic flux tubes much smaller effective area measured rhessi phase flares july flare energy deposited non thermal particles exceeds x ray uv energy losses rate increase thermal energy ,astro-ph
1,1,light current atmospheric neutrino oscillation data revisit invisible decay standard model higgs boson pseudoscalar mesons enhanced large number kk modes models right handed singlet neutrinos large extra dimensions find invisible decay rate higgs large h b bar b decay rate restricted region parameter space parameter space even restricted one demands dimensionless neutrino yukawa coupling l also studied scenarios singlet neutrino propagate sub space lowers string scale ast keeps neutrino yukawa coupling also considered decays spin mesons nu bar nu found rates small measurement ,hep-ph
2,2,consider following basic learning task given independent draws unknown distribution discrete support output approximation distribution accurate possible ell distance e total variation statistical distance perhaps surprisingly often possible de noise empirical distribution samples return approximation true distribution significantly accurate empirical distribution without relying prior assumptions distribution present instance optimal learning algorithm optimally performs de noising every distribution de noising possible formally given n independent draws distribution p algorithm returns labelled vector whose expected distance p equal minimum possible expected error obtained algorithm knows true unlabeled vector probabilities distribution p simply needs assign labels additive subconstant term independent p goes zero n gets large one conceptual implication result large samples bayesian assumptions shape bounds tail probabilities distribution discrete support helpful task learning distribution consequence techniques also show given set n samples arbitrary distribution one accurately estimate expected number distinct elements observed sample size n log n sort extrapolation practically relevant particularly domains genomics important understand much might discovered given larger sample sizes optimistic approach practically viable ,cs.LG
3,3,paper characterise family finite arc transitive bicirculants show every finite arc transitive bicirculant normal r cover arc transitive graph lies one eight infinite families one seven sporadic arc transitive graphs moreover basic graphs either arc transitive bicirculant arc transitive circulant graph latter case arc transitive bicirculant normal r cover integer r ,math.CO
4,4,control condensed matter systems equilibrium laser pulses allows us investigate system trajectories symmetry breaking phase transitions thus evolution collective modes single particle excitations followed diverse phase transitions femtosecond resolution present experimental observations order parameter trajectory normal superconductor transition charge density wave ordering transitions particular interest coherent evolution topological defects forming transition via kibble zurek mechanism appears measurable optical pump probe experiments experiments cdw systems reveal new phenomena coherent oscillations order parameter creation emission dispersive amplitudon modes upon annihilation topological defects mixing weakly coupled finite frequency massive bosons ,cond-mat.mes-hall
5,5,report direct detection time correlated single electron tunneling oscillations series array small tunnel junctions current made lattice charge solitons moving throughout array time correlated tunneling frequency f e e electron charge detect single charges integrated array radio frequency single electron transistor rf set employed two different methods couple array set input direct injection tunnel junction capacitive coupling paper report results latter type charge input observed oscillations frequency domain measured currents fa means electron counting ,cond-mat.mes-hall
6,6,static black holes two dimensional string theory carry tachyon hair configurations non singular event horizon non vanishing asymptotic energy density solutions smoothly extended event horizon non vanishing energy flux emerging past singularity dynamical processes change amount tachyon hair black hole particular tachyon hair black hole formed gravitational collapse initial geometry linear dilaton vacuum also exist static solutions finite total energy singular event horizons simple dynamical arguments suggest black holes formed gravitational collapse tachyon hair type ,hep-th
7,7,important part problems statistical physics computer science expressed computation marginal probabilities markov random field belief propagation algorithm exact procedure compute marginals underlying graph tree gained popularity efficient way approximate general case paper focus aspect algorithm get much attention literature effect normalization messages show particular large class normalization strategies possible focus belief convergence following express necessary sufficient conditions local stability fixed point terms graph structure beliefs values fixed point also explicit connexion normalization constants underlying bethe free energy ,cs.LG
8,8,paper variable selection clustering estimation unsupervised high dimensional setting approach based fitting constrained gaussian mixture models learn number clusters k set relevant variables using generalized bayesian posterior sparsity inducing prior prove sparsity oracle inequality shows procedure selects optimal parameters k procedure implemented using metropolis hastings algorithm based clustering oriented greedy proposal makes convergence posterior fast ,stat.ML
9,9,using electrostatic approximation analyze electromagnetic fields scattered sharp conical metal tips illuminated light polarized along tip axis establish scaling relations scattered field amplitude phase whose validity verified numerical simulations analytic expressions wavelength scattered field near tip changes direction field decay near tip extremity obtained relating characteristics cone angle metal permittivity results obtained important implications various tip enhanced phenomena ranging raman scattering near field imaging photoemission spectroscopy nano optical trapping ,physics.optics
10,10,study extended thermodynamical properties charged black hole horndeski model k essence sector define holographic heat engine via black hole compute engine efficiency large temperature limit compare results exact ones given specified parameters rectangular engine higher order coupling suppresses engine efficiencies ,hep-th
11,11,study problem detecting change points cps characterized subset dimensions multi dimensional sequence method detecting cps formulated two stage method one selecting relevant dimensions another selecting cps difficult properly control false detection probability cp detection methods selection bias stage must properly corrected main contribution paper formulate cp detection problem selective inference problem show exact non asymptotic inference possible class cp detection methods demonstrate performances proposed selective inference framework numerical simulations application motivating medical data analysis problem ,stat.ML
12,12,wfc installed hst community powerful new tools investigating resolved stellar populations wfc galactic bulge treasury program obtain deep imaging low extinction fields non proprietary data enable variety science investigations possible previous data sets aid planning use data future proposals provide introduction program photometric system associated calibration effort observing strategy based upon new band photometric system spanning uv optical near infrared broad bands one construct reddening free indices teff besides bulge fields program target fields well studied star clusters spanning wide range cluster data serve calibrate indices provide population templates correct transformation isochrones wfc photometric system bulge data shed light bulge formation history also serve population templates studies one fields includes candidate hosts extrasolar planets cmds popular tool analyzing resolved stellar populations however due degeneracies among teff reddening traditional cmds difficult draw robust conclusions data band system used bulge treasury observations provide indices roughly orthogonal teff argue model fitting index index diagram make better use information fitting separate cmds provide simulations show expected data quality potential differentiating different star formation histories ,astro-ph
13,13,mssm explicit cp violation studied di photon decay channel lightest neutral higgs boson leading one loop order h gammar gamma affected large number higgs sparticle couplings complex preliminary scan supersymmetric parameter space shows average deviations possible either direction corresponding branching ratio respect case cp conserving mssm particular analysis shows presence light stop mass gev cp violating phase arg mu deg render h gamma gamma branching ratio times larger suitable combinations mssm parameters ,hep-ph
14,14,major development recently undergone quantum cascade lasers effectively extended frequency comb emission longer wavelength spectral regions e mid far infrared unlike classical pulsed frequency combs mode locking mechanism relies four wave mixing nonlinear processes temporal intensity profile different conventional short pulses trains measuring absolute phase pattern modes combs enables thorough characterization onset mode locking absence short pulses emission well coherence properties combining dual comb multi heterodyne detection fourier transform analysis show simultaneously acquire monitor wide range timescales phase pattern generic frequency comb technique applied characterize mid infrared terahertz quantum cascade laser frequency comb conclusively proving high degree coherence remarkable long term stability sources moreover technique allows also reconstruction electric field intensity profile instantaneous frequency emission ,physics.optics
15,15,forecast impact weak lensing wl cluster mass calibration cosmological constraints x ray selected galaxy cluster counts upcoming erosita survey employ prototype cosmology pipeline analyze mock cluster catalogs cluster sampled mass function fiducial cosmology given erosita count rate redshift count rates modeled using erosita effective area typical exposure time poisson noise scatter form observed x ray luminosity temperature mass redshift relations subset clusters mock shear profiles mimic either des hsc future euclid lsst surveys using count rate selection generate baseline cluster cosmology catalog contains k clusters deg extragalactic sky low mass groups excluded using raised count rate thresholds low redshift forecast parameter uncertainties omega mathrm sigma w respectively adopting des hsc wl euclid lsst marginalizing sum neutrino masses degeneracy distance redshift relation parameters observable mass scaling relation limits impact wl calibration w constraints bao measurements desi improved determination w becomes possible planck cmb priors omega text sigma determined summed neutrino mass limited sum nu ev systematics group mass scale controlled erosita group cluster sample k objects lsst wl constrain omega mathrm sigma w ,astro-ph.CO
16,16,motivation given trying theory gravity preferred reference frame ether short one theory summarized scalar bimetric theory dynamics governed extension newton second law static case geodesic motion recovered together newton attraction field static spherical case schwarzschild metric got asymptotic scheme post minkowskian pm approximation built associating conceptual family systems given weakly gravitating system general post newtonian scheme velocity may comparable c allows justify pm approximation energy rate may equated rate newtonian energy usually done pm approximation theory isolated system loses energy quadrupole radiation without monopole dipole term seems plausible observations binary pulsars pulse data nicely fitted timing model based theory ,gr-qc
17,17,members widely separated stellar binaries pc loosely bound stellar associations clusters born small spreads kinematics chemistry disrupt dissociate timescales comparable orbital time within milky way kinematic properties comoving star pairs bound wide binaries unbound coeval stars therefore sensitive smooth tidal field gravitational perturbation spectrum milky way previous work identified candidate comoving pairs using astrometric data tycho gaia astrometric solution tgas catalog find large number pairs separations pc without radial velocity measurements vast majority pairs false positive rate separations significant present results low resolution radial velocity survey random sample candidate pairs identify validate true comoving star pairs observed comoving pairs confirm comoving pairs separations large pc original search limit separations pc pc number confirmed pairs per separation decreases increasing separation number per log separation uniform pc pc number per separation approximately uniform number per log separation increases confirm discovery population comoving star pairs large separations suggesting disrupted wide binaries stellar associations remain approximately spatially coherent ,astro-ph.SR
18,18,brain decoding involves determination subject cognitive state associated stimulus functional neuroimaging data measuring brain activity setting cognitive state typically characterized element finite set neuroimaging data comprise voluminous amounts spatiotemporal data measuring aspect neural signal associated statistical problem one classification high dimensional data explore use functional principal component analysis mutual information networks persistent homology examining data exploratory analysis constructing features characterizing neural signal brain decoding review approach perspective incorporate features classifier based symmetric multinomial logistic regression elastic net regularization approaches illustrated application task infer brain activity measured magnetoencephalography meg type video stimulus shown subject ,stat.ML
19,19,show unique existence solutions stationary navier stokes equations small singular external forces belonging critical space best knowledge largest critical space available kind existence result viewed stationary counterpart existence result obtained h koch tataru free non stationary navier stokes equations initial data bmo stability stationary solutions spaces also obtained series sharp estimates resolvents singularly perturbed operator corresponding semigroup ,math.AP
20,20,find spectrum boundary bound states sine gordon model dirichlet boundary conditions closing bootstrap providing complete description poles boundary reflection factors boundary coleman thun mechanism plays important role analysis two basic lemmas introduced hold dimensional boundary field theory allowing general method applied models ,hep-th
21,21,using ovro nobeyama iram mm arrays searched disk outflow systems three high mass proto star forming regions g g g selected sample nh cores associated oh ho maser emission faint continuum emission imaging molecular line including rotational transitions chcn mm dust continuum emission revealed compact massive hot molecular cores hmcs likely sites high mass star formation prior appearance uchii regions three sources turn associated molecular outflows co hco j line imaging addition velocity gradients km per pc innermost densest regions g g hmcs identified along directions roughly perpendicular axes corresponding outflows results suggest cores might rotating outflow axis although contribution rotation gravitational equilibrium hmcs appears negligible analysis indicates hmcs close virial equilibrium due turbulent pressure support comparison similar objects rotating toroids identified far shows case rotation appears much less prominent explained combined effect unfavorable projection large distance limited angular resolution current interferometers ,astro-ph
22,22,although full interoperativity theoretical observational data framework virtual observatory desirable achievement current status vo offers approaches handle theoretical models tsap theoretical spectra access protocol proposed tool fill void providing simple scheme easily operate th kind data tsap useful synthetic spectra also types theoretical data example show isochrone evolutionary tracks server using tsap finally pay special attention correct treatment credits important issue field theoretical models ,astro-ph
23,23,prove certain spinfoam model euclidean quantum general relativity recently defined finite feynman diagrams converge model variant barrett crane model defined terms field theory x x x ,gr-qc
24,24,propose way implementing event cloaking device without use metamaterials rather slowing speeding light manipulate obscurity gap diverting light paths appropriate length arrangement switchable transreflective mirrors ,physics.optics
25,25,given vertex interest network g vertex nomination problem seeks find corresponding vertex interest exists second network g vertex nomination scheme produces list vertices g ranked according likely judged corresponding vertex interest g vertex nomination problem related information retrieval tasks attracted much attention machine learning literature numerous applications social biological networks however current framework often confined comparatively small class network models concept statistically consistent vertex nomination schemes shallowly explored paper extend vertex nomination problem general statistical model graphs drawing inspiration long established classification framework pattern recognition literature provide definitions key notions bayes optimality consistency extended vertex nomination framework including derivation bayes optimal vertex nomination scheme addition prove universally consistent vertex nomination schemes exist illustrative examples provided throughout ,stat.ML
26,26,use techniques algebraic killing spinors obtain family holographic flow solutions four supersymmetries theory family supersymmetric backgrounds constructed includes non trivial flow dimensional analog leigh strassler fixed point well generalizations involve branes spreading radially symmetric fashion coulomb branch non trivial fixed point theory spreading branes also appear undergo dielectric polarization branes results naturally extend earlier applications algebraic killing spinor method also generalize harmonic ansatz entire family new supersymmetric backgrounds characterized solutions single second order non linear pde also show solution natural hybrid special holonomy dielectric deformation canonical supersymmetry projector branes ,hep-th
27,27,comprehensive vlbi multi waveband monitoring indicate single superluminal knot cause number gamma ray flares different locations however often rapid variability timescale challenge theoretical models given flare perhaps majority observed inferred observations lie near ghz core parsecs central engine present relevant observational results using bl lac object ao example propose turbulent cell model leading frequency dependent filling factor emission region feature model provide solution timescale dilemma characteristics blazar emission ,astro-ph.CO
28,28,work holographic dictionary three dimensional schr odinger spacetimes first step analysis involves correct identification dual sources radial expansion bulk fields turns surprisingly subtle discuss detail holographic renormalization procedure linearized level holographically compute two point functions energy momentum tensor irrelevant vector operator discuss appearance multi trace counterterms parametrize scheme dependence results identify non relativistic ward identities compare expectations literature results lead valuable general insights regarding holography spacetimes asymptotically ads form ,hep-th
29,29,propose novel support vector regression approach called e distance weighted support vector regression e dwsvr e dwsvr specifically addresses two challenging issues support vector regression first process noisy data second deal situation distribution boundary data different overall data proposed e dwsvr optimizes minimum margin mean functional margin simultaneously tackle two issues addition use dual coordinate descent cd averaged stochastic gradient descent asgd strategies make e dwsvr scalable large scale problems report promising results obtained e dwsvr comparison existing methods several benchmark datasets ,cs.LG
30,30,possible existence warm rm eff sim k pulsating da white dwarf wd stars hotter zz ceti stars predicted theoretical studies yr ago however date pulsating warm da wd discovered examine pulsational predictions wds basis new full evolutionary sequences analyze warm das observed tess satellite sector order search possible pulsational signal compute wd evolutionary sequences h content range lesssim log rm h star lesssim appropriate study warm da wds use new full implicit treatment time dependent element diffusion non adiabatic pulsations computed effective temperature range k focusing ell g modes periods range find extended h transition zones inhibit excitation g modes due partial ionization h envelope case h transition assumed much abrupt models exhibit pulsational instability case instabilities found wd models h envelopes range lesssim log rm h star lesssim effective temperatures higher typical zz ceti stars agreement previous studies none warm das observed far tess satellite found pulsate study suggests non detection pulsating warm das wds thin h envelopes exist attributed presence smooth extended h transition zone considered indirect proof element diffusion indeed operates interior wds ,astro-ph.SR
31,31,create two dimensional electron system des interface euo ferromagnetic insulator srtio transparent non magnetic insulator considered bedrock oxide based electronics achieved controlled situ redox reaction pure metallic eu deposited room temperature surface srtio innovative bottom approach easily generalized functional oxides scaled applications additionally find resulting euo capping layer tuned paramagnetic ferromagnetic depending layer thickness results demonstrate simple novel technique creating dess oxides deposition elementary reducing agents extended simultaneously produce active e g magnetic capping layer enabling realization control additional functionalities oxide based dess ,cond-mat.mtrl-sci
