,Id,Abstract,Category
0,0,[1. 1. 1. ... 0. 0. 0.],astro-ph
1,1,[0. 0. 0. ... 0. 0. 0.],hep-ph
2,2,[0. 0. 0. ... 0. 0. 0.],cs.LG
3,3,[0. 0. 0. ... 0. 0. 0.],math.CO
4,4,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
5,5,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
6,6,[1. 0. 0. ... 0. 0. 0.],hep-th
7,7,[0. 0. 0. ... 0. 0. 0.],cs.LG
8,8,[0. 0. 0. ... 0. 0. 0.],stat.ML
9,9,[0. 0. 0. ... 0. 0. 0.],physics.optics
10,10,[0. 0. 0. ... 0. 0. 0.],hep-th
11,11,[0. 0. 0. ... 0. 0. 0.],stat.ML
12,12,[0. 0. 0. ... 0. 0. 0.],astro-ph
13,13,[0. 0. 0. ... 0. 0. 0.],hep-ph
14,14,[0. 0. 0. ... 0. 0. 0.],physics.optics
15,15,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
16,16,[1. 0. 0. ... 0. 0. 0.],gr-qc
17,17,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
18,18,[0. 0. 0. ... 0. 0. 0.],stat.ML
19,19,[0. 0. 0. ... 0. 0. 0.],math.AP
20,20,[0. 0. 0. ... 0. 0. 0.],hep-th
21,21,[0. 0. 0. ... 0. 0. 0.],astro-ph
22,22,[0. 0. 0. ... 0. 0. 0.],astro-ph
23,23,[0. 0. 0. ... 0. 0. 0.],gr-qc
24,24,[0. 0. 0. ... 0. 0. 0.],physics.optics
25,25,[0. 0. 0. ... 0. 0. 0.],stat.ML
26,26,[0. 0. 0. ... 0. 0. 0.],hep-th
27,27,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
28,28,[0. 0. 0. ... 0. 0. 0.],hep-th
29,29,[0. 0. 0. ... 0. 0. 0.],cs.LG
30,30,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
31,31,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
32,32,[0. 0. 0. ... 0. 0. 0.],quant-ph
33,33,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
34,34,[0. 0. 0. ... 0. 0. 0.],hep-ph
35,35,[0. 0. 0. ... 0. 0. 0.],hep-ph
36,36,[1. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
37,37,[0. 0. 0. ... 0. 0. 0.],gr-qc
38,38,[0. 0. 0. ... 0. 0. 0.],quant-ph
39,39,[0. 0. 0. ... 0. 0. 0.],cs.LG
40,40,[0. 0. 0. ... 0. 0. 0.],hep-ph
