,Id,Abstract,Category
5250,5250,propose methodology explore measure pairwise correlations exist variables dataset methodology leverages copulas encoding dependence two variables state art optimal transport providing relevant geometry copulas clustering summarizing main dependence patterns found variables clusters centers used parameterize novel dependence coefficient target forget specific dependence patterns finally illustrate benchmark methodology several datasets code numerical experiments available online reproducible research ,stat.ML
5251,5251,statistical dependencies independent component analysis ica cannot remove often provide rich information beyond linear independent components thus useful estimate dependency structure data models proposed usually concentrated higher order correlations energy square correlations yet linear correlations fundamental informative form dependency many real data sets linear correlations usually completely removed ica related methods analyzed developing new methods explicitly allow linearly correlated components paper propose probabilistic model linear non gaussian components allowed linear energy correlations precision matrix linear components assumed randomly generated higher order process explicitly parametrized parameter matrix estimation parameter matrix shown particularly simple using score matching objective function quadratic form using simulations artificial data demonstrate proposed method improves identifiability non gaussian components simultaneously learning correlation structure applications simulated complex cells natural image input well spectrograms natural audio data show method finds new kinds dependencies components ,stat.ML
5252,5252,based son yamamoto relation obtained transverse part triangle axial anomaly rm qcd derive analog two dimensional system connects transverse part mixed vector axial current two point function diagonal vector axial current two point functions fully non perturbative relation may regarded anomaly matching conductivities certain transport coefficients depending system consider holographic rg flows holographic yang mills chern simons theory via hamilton jacobi equation respect radial coordinate within holographic model found rg flows following relations diagonal son yamamoto relation left right polarization operator thus son yamamoto relation holds wide range energy scales ,hep-th
5253,5253,series new radio continuum lambda cm mosaic images focused ngc galactic system produced using archived observational data australia telescope compact array new images sensitive rms mu jy feature high angular resolution using newly created images previously unidentified discrete sources identified sources classified background sources hii regions supernova remnant candidates relatively low number snr candidates detected coupled low number large hii regions consistent estimated low star formation rate galaxy solar masses per year spectral index map shows core galaxy appears shallow spectral index alpha indicates core galaxy region high thermal radiation output ,astro-ph.CO
5254,5254,well known expectation values de sitter space afflicted infra red divergences long ago starobinsky proposed infra red effects de sitter space accommodated evolving long wavelength part field according classical field equations plus stochastic source term argue quantum mechanical loop corrections taken account separate universe picture superhorizon evolution de sitter space equivalent certain leading logarithm approximation starobinsky stochastic approach particular time evolution box de sitter space understood exact analogy dglap evolution partons within hadron describes slow logarithmic evolution distribution hadron constituent partons energy scale probed ,astro-ph.CO
5255,5255,present moderate resolution spectroscopic observations red supergiants rsgs low metallicity local group galaxies ngc z zsun wolf lundmark melotte wlm z zsun combining observations reduction techniques multislit data reduction flux calibration able analyze spectroscopic data rsgs ngc spectrophotometric data rsgs wlm using observations determine spectral types massive stars comparing milky way magellanic clouds rsgs thus extending observational evidence abundance dependent shift rsg spectral types lower metallicities addition uncovered two rsgs unusually late spectral types j wlm spectral type j ngc spectral type third rsg j ngc whose spectral type varied k three stars potentially members recently discovered class extreme rsg variables ,astro-ph.SR
5256,5256,previous vlbi observations lens system class b showed lensed source triple sub component structure however one images looked different others suggested due scatter broadening ism lensing galaxy present new cm evn map system low frequency compared previous epochs chosen scattering pronounced frequency analysis new map early stage area scattering affected image extremely obvious points interest seek explain large sizes images conflict observed spectral turnover ghz different position angle one images different frequencies ,astro-ph
5257,5257,measurement acoustic peaks cosmic microwave background cmb temperature anisotropies instrumental deciding geometry content universe acoustic peak positions vary different parts sky due statistical fluctuation present statistics peak positions small patches esa planck data found peak positions significantly high variance compared cmb simulations best fit lambdacdm model lensing doppler boosting effects included examining individual patches found one containing mysterious cold spot area near eridanus constellation temperature significantly lower gaussian theory predicts displays large synchronous shift peak positions towards smaller multipole numbers significance lower x combination large synchronous shifts acoustic peaks lower usual temperature cold spot area results sigma detection significance p x lambdacdm model already reported finelli et al wise mass galaxy catalog z cold spot region surrounded surprisingly large underdense regions around degs radius found square patch thus propose extra localized unknown energy stretch space transverse direction around cold spot area simultaneously account cold spot excessive shift acoustic peaks large underdense regions ,astro-ph.CO
5258,5258,building time machine possible requires relevant regions spacetime compact physically speaking free sources unpredictability infinities singularities motivated argument consider spacetimes compactly determined cauchy horizons cdchs defining property compactness overline j euscript u cap j euscript euscript u open subset cauchy horizon euscript cauchy surface initial globally hyperbolic region ingh following two facts established ingh globally hyperbolic maximal extension means shaping appropriately precompact portion globally hyperbolic region one emph force universe produce either closed causal curve quasiregular singularity whichever abhors less cdch formed null geodesic appears infinitely approaches horizon returning arbitrarily small region energy photon moving geodesic increases passage least falls insufficiently fast result observer located mentioned region see bunch photons passing laboratory arbitrarily large total energy speculate phenomenon may observable consequences ,gr-qc
5259,5259,deep space laser ranging missions like astrod single spacecraft astrodynamical space test relativity using optical devices astrod together astrometry missions like gaia lator able test relativistic gravity unprecedented level accuracy precisely missions enable us test relativistic gravity require nd post newtonian approximation relevant theories gravity first post newtonian approximation valid second post newtonian valid solar system scalar tensor theory widely discussed used tests relativistic gravity especially interests inflation cosmological constant dark energy cosmology lagrangian intermediate range gravity term similar form cosmological term present full second post newtonian approximation scalar tensor theory including viable examples intermediate range gravity use chandrasekhar approach derive metric coefficients equation hydrodynamics governing perfect fluid nd post newtonian approximation scalar tensor theory terms inclusive c retained consistently equation motion ,gr-qc
